"Waterbody_ID","Total_Length","Species","Year"
1,16.6,"wae",1999
1,19.2,"wae",1999
1,20.1,"wae",1999
1,21.1,"wae",1999
1,27.7,"wae",1999
1,27.5,"wae",1999
1,28,"wae",1999
1,29.7,"wae",1999
1,30.3,"wae",1999
1,31.4,"wae",1999
1,31.4,"wae",1999
1,31.5,"wae",1999
1,31.5,"wae",1999
1,31.1,"wae",1999
1,31.2,"wae",1999
1,31.4,"wae",1999
1,32.4,"wae",1999
1,32.4,"wae",1999
1,32.8,"wae",1999
1,32.3,"wae",1999
1,32.5,"wae",1999
1,32.6,"wae",1999
1,32.6,"wae",1999
1,33.2,"wae",1999
1,33.4,"wae",1999
1,33.9,"wae",1999
1,33.5,"wae",1999
1,33.9,"wae",1999
1,33.5,"wae",1999
1,33.3,"wae",1999
1,33.1,"wae",1999
1,34.1,"wae",1999
1,34.3,"wae",1999
1,34,"wae",1999
1,34.2,"wae",1999
1,34.4,"wae",1999
1,35.4,"wae",1999
1,35.4,"wae",1999
1,35.4,"wae",1999
1,35.2,"wae",1999
1,35.8,"wae",1999
1,35.1,"wae",1999
1,35,"wae",1999
1,36,"wae",1999
1,36.3,"wae",1999
1,37.3,"wae",1999
1,37.6,"wae",1999
1,39.5,"wae",1999
1,41.8,"wae",1999
1,54.2,"wae",1999
1,59.2,"wae",1999
1,19.3,"wae",2001
1,20.1,"wae",2001
1,20.4,"wae",2001
1,22.3,"wae",2001
1,22.5,"wae",2001
1,24.9,"wae",2001
1,31.4,"wae",2001
1,31.6,"wae",2001
1,33.2,"wae",2001
1,34.8,"wae",2001
1,34.5,"wae",2001
1,34.7,"wae",2001
1,38.3,"wae",2001
1,40.7,"wae",2001
1,32.4,"wae",2003
1,32.4,"wae",2003
1,33.7,"wae",2003
1,33,"wae",2003
1,33.7,"wae",2003
1,33.3,"wae",2003
1,34,"wae",2003
1,34.1,"wae",2003
1,34.6,"wae",2003
1,34.5,"wae",2003
1,34.5,"wae",2003
1,34.4,"wae",2003
1,35.2,"wae",2003
1,35.2,"wae",2003
1,35.5,"wae",2003
1,35.3,"wae",2003
1,35.2,"wae",2003
1,35.4,"wae",2003
1,35.5,"wae",2003
1,35.6,"wae",2003
1,35.2,"wae",2003
1,35.5,"wae",2003
1,35.5,"wae",2003
1,35.1,"wae",2003
1,35.8,"wae",2003
1,35.8,"wae",2003
1,35.2,"wae",2003
1,35.6,"wae",2003
1,35.4,"wae",2003
1,35.6,"wae",2003
1,35.7,"wae",2003
1,35.7,"wae",2003
1,35.9,"wae",2003
1,36.5,"wae",2003
1,36.6,"wae",2003
1,36.6,"wae",2003
1,36.9,"wae",2003
1,36.1,"wae",2003
1,36.3,"wae",2003
1,36.3,"wae",2003
1,36.7,"wae",2003
1,36.7,"wae",2003
1,36.6,"wae",2003
1,36.2,"wae",2003
1,37.3,"wae",2003
1,37.3,"wae",2003
1,37.8,"wae",2003
1,37.2,"wae",2003
1,38.8,"wae",2003
1,38.3,"wae",2003
1,38.1,"wae",2003
1,39.5,"wae",2003
1,39.5,"wae",2003
1,39.3,"wae",2003
1,39.5,"wae",2003
1,39.3,"wae",2003
1,39.6,"wae",2003
1,40.6,"wae",2003
1,40.6,"wae",2003
1,40.2,"wae",2003
1,40.4,"wae",2003
1,41.9,"wae",2003
1,41.1,"wae",2003
1,41.8,"wae",2003
1,42.8,"wae",2003
1,42.3,"wae",2003
1,43.6,"wae",2003
1,43.8,"wae",2003
1,44.4,"wae",2003
1,44.7,"wae",2003
1,44.9,"wae",2003
1,44.1,"wae",2003
1,44.7,"wae",2003
1,46.7,"wae",2003
1,46.8,"wae",2003
1,49.6,"wae",2003
1,50.4,"wae",2003
1,50.3,"wae",2003
1,51.8,"wae",2003
1,54.1,"wae",2003
1,21.8,"wae",2005
1,21.4,"wae",2005
1,23.7,"wae",2005
1,24.7,"wae",2005
1,24.5,"wae",2005
1,24.3,"wae",2005
1,24.2,"wae",2005
1,24.4,"wae",2005
1,24.5,"wae",2005
1,25.6,"wae",2005
1,25.1,"wae",2005
1,25.1,"wae",2005
1,25.4,"wae",2005
1,25.8,"wae",2005
1,25.7,"wae",2005
1,25,"wae",2005
1,25.7,"wae",2005
1,25.7,"wae",2005
1,25.3,"wae",2005
1,25.9,"wae",2005
1,26.5,"wae",2005
1,26.5,"wae",2005
1,26.9,"wae",2005
1,26.5,"wae",2005
1,26.7,"wae",2005
1,26.6,"wae",2005
1,26.2,"wae",2005
1,26.7,"wae",2005
1,26.5,"wae",2005
1,26.1,"wae",2005
1,26.7,"wae",2005
1,26.4,"wae",2005
1,26.8,"wae",2005
1,26.8,"wae",2005
1,26.6,"wae",2005
1,26.6,"wae",2005
1,26.4,"wae",2005
1,27.4,"wae",2005
1,27.8,"wae",2005
1,27.3,"wae",2005
1,27.2,"wae",2005
1,27.5,"wae",2005
1,28.9,"wae",2005
1,29.8,"wae",2005
1,47.4,"wae",2005
1,71.7,"wae",2005
1,14.5,"yep",1999
1,16,"yep",1999
1,17.3,"yep",1999
1,19.5,"yep",1999
1,19.1,"yep",1999
1,19.2,"yep",1999
1,19.7,"yep",1999
1,19.4,"yep",1999
1,19.6,"yep",1999
1,19.5,"yep",1999
1,19.7,"yep",1999
1,20.8,"yep",1999
1,20.4,"yep",1999
1,21.5,"yep",1999
1,21.2,"yep",1999
1,22.2,"yep",1999
1,22.4,"yep",1999
1,22.9,"yep",1999
1,23.7,"yep",1999
1,23,"yep",1999
1,23.3,"yep",1999
1,24.9,"yep",1999
1,24.8,"yep",1999
1,24.6,"yep",1999
1,24.5,"yep",1999
1,25.3,"yep",1999
1,25.6,"yep",1999
1,25.8,"yep",1999
1,26.6,"yep",1999
1,26.1,"yep",1999
1,26.2,"yep",1999
1,26.8,"yep",1999
1,26.1,"yep",1999
1,26.6,"yep",1999
1,26.1,"yep",1999
1,26.3,"yep",1999
1,26.5,"yep",1999
1,26.8,"yep",1999
1,27.6,"yep",1999
1,27,"yep",1999
1,27.7,"yep",1999
1,27.1,"yep",1999
1,27.1,"yep",1999
1,27.3,"yep",1999
1,27.9,"yep",1999
1,27.7,"yep",1999
1,27.7,"yep",1999
1,28.3,"yep",1999
1,29.5,"yep",1999
1,29.8,"yep",1999
1,13.6,"yep",2001
1,14.5,"yep",2001
1,14.5,"yep",2001
1,14.5,"yep",2001
1,15.7,"yep",2001
1,15.1,"yep",2001
1,15.7,"yep",2001
1,15.1,"yep",2001
1,15.7,"yep",2001
1,20.5,"yep",2001
1,20.4,"yep",2001
1,20.8,"yep",2001
1,20.4,"yep",2001
1,20.2,"yep",2001
1,20,"yep",2001
1,21.8,"yep",2001
1,21.4,"yep",2001
1,21.8,"yep",2001
1,21.8,"yep",2001
1,21.1,"yep",2001
1,21.2,"yep",2001
1,21.3,"yep",2001
1,21.6,"yep",2001
1,21.8,"yep",2001
1,21.4,"yep",2001
1,22.7,"yep",2001
1,22.7,"yep",2001
1,22.9,"yep",2001
1,22.3,"yep",2001
1,22,"yep",2001
1,22.2,"yep",2001
1,22.1,"yep",2001
1,22.8,"yep",2001
1,22.9,"yep",2001
1,22.6,"yep",2001
1,22.3,"yep",2001
1,22.3,"yep",2001
1,22.8,"yep",2001
1,22.9,"yep",2001
1,22.4,"yep",2001
1,22,"yep",2001
1,23.3,"yep",2001
1,23.9,"yep",2001
1,23.5,"yep",2001
1,23.2,"yep",2001
1,23.2,"yep",2001
1,23.9,"yep",2001
1,23.7,"yep",2001
1,23.3,"yep",2001
1,24,"yep",2001
1,24.4,"yep",2001
1,25.2,"yep",2001
1,27.2,"yep",2001
1,29.2,"yep",2001
1,16.6,"yep",2001
1,18.4,"yep",2003
1,19.8,"yep",2003
1,19,"yep",2003
1,19.5,"yep",2003
1,20.2,"yep",2003
1,20.7,"yep",2003
1,20.8,"yep",2003
1,20.7,"yep",2003
1,20.8,"yep",2003
1,20.2,"yep",2003
1,20.2,"yep",2003
1,20.5,"yep",2003
1,21.5,"yep",2003
1,21.1,"yep",2003
1,21.7,"yep",2003
1,21.1,"yep",2003
1,21.4,"yep",2003
1,21.7,"yep",2003
1,21.1,"yep",2003
1,21.5,"yep",2003
1,22.7,"yep",2003
1,22.4,"yep",2003
1,22.5,"yep",2003
1,22.2,"yep",2003
1,22,"yep",2003
1,22.7,"yep",2003
1,22.3,"yep",2003
1,22.8,"yep",2003
1,22.6,"yep",2003
1,22.1,"yep",2003
1,22.1,"yep",2003
1,22.7,"yep",2003
1,22.3,"yep",2003
1,22.7,"yep",2003
1,22.1,"yep",2003
1,22.4,"yep",2003
1,22.3,"yep",2003
1,22.6,"yep",2003
1,22,"yep",2003
1,22.9,"yep",2003
1,22.2,"yep",2003
1,22.2,"yep",2003
1,22.5,"yep",2003
1,22.2,"yep",2003
1,22.9,"yep",2003
1,22.5,"yep",2003
1,22.2,"yep",2003
1,23.2,"yep",2003
1,23.4,"yep",2003
1,23.4,"yep",2003
1,23.7,"yep",2003
1,23.1,"yep",2003
1,23.7,"yep",2003
1,23.7,"yep",2003
1,23.1,"yep",2003
1,23.4,"yep",2003
1,23.5,"yep",2003
1,23.5,"yep",2003
1,23.6,"yep",2003
1,23.5,"yep",2003
1,23.3,"yep",2003
1,23.3,"yep",2003
1,23.3,"yep",2003
1,23,"yep",2003
1,23.4,"yep",2003
1,23.8,"yep",2003
1,23.5,"yep",2003
1,23.7,"yep",2003
1,23.6,"yep",2003
1,23.1,"yep",2003
1,23.4,"yep",2003
1,23.6,"yep",2003
1,23.7,"yep",2003
1,23.8,"yep",2003
1,23,"yep",2003
1,23.3,"yep",2003
1,23.9,"yep",2003
1,23.8,"yep",2003
1,23.7,"yep",2003
1,23.5,"yep",2003
1,23.1,"yep",2003
1,23.5,"yep",2003
1,23.3,"yep",2003
1,23.6,"yep",2003
1,24.8,"yep",2003
1,24.7,"yep",2003
1,24.1,"yep",2003
1,24,"yep",2003
1,24.4,"yep",2003
1,24.4,"yep",2003
1,24.9,"yep",2003
1,24.9,"yep",2003
1,24.7,"yep",2003
1,24.5,"yep",2003
1,24.7,"yep",2003
1,24.2,"yep",2003
1,24.2,"yep",2003
1,24.8,"yep",2003
1,24.3,"yep",2003
1,24,"yep",2003
1,24.5,"yep",2003
1,24.7,"yep",2003
1,25.2,"yep",2003
1,25.6,"yep",2003
1,25.1,"yep",2003
1,25.9,"yep",2003
1,25.9,"yep",2003
1,25.1,"yep",2003
1,26.3,"yep",2003
1,26.9,"yep",2003
1,27.6,"yep",2003
1,29.1,"yep",2003
1,29.4,"yep",2003
1,11.6,"yep",2005
1,12.3,"yep",2005
1,13.3,"yep",2005
1,13.4,"yep",2005
1,13.2,"yep",2005
1,13.3,"yep",2005
1,13.4,"yep",2005
1,14.6,"yep",2005
1,14.7,"yep",2005
1,23.2,"yep",2005
1,23.3,"yep",2005
1,24.3,"yep",2005
1,24.8,"yep",2005
1,24.4,"yep",2005
1,24,"yep",2005
1,25.2,"yep",2005
1,25.3,"yep",2005
1,26.8,"yep",2005
1,26.1,"yep",2005
1,27.6,"yep",2005
1,27.8,"yep",2005
1,27.6,"yep",2005
1,27.9,"yep",2005
1,27.7,"yep",2005
1,27.4,"yep",2005
1,27.7,"yep",2005
1,28,"yep",2005
1,28.7,"yep",2005
1,28.2,"yep",2005
1,28.8,"yep",2005
1,28.3,"yep",2005
1,28.5,"yep",2005
1,28.2,"yep",2005
1,28.4,"yep",2005
1,28.2,"yep",2005
1,28.2,"yep",2005
1,28.4,"yep",2005
1,28.2,"yep",2005
1,29.3,"yep",2005
1,29.4,"yep",2005
1,29.8,"yep",2005
1,29.4,"yep",2005
1,29.1,"yep",2005
1,29.2,"yep",2005
1,29.2,"yep",2005
1,29.2,"yep",2005
1,29.7,"yep",2005
1,29.5,"yep",2005
1,29.4,"yep",2005
1,30.2,"yep",2005
1,30.8,"yep",2005
1,31.9,"yep",2005
1,19.1,"bkc",1997
1,20.1,"bkc",1997
1,20.8,"bkc",1997
1,21.7,"bkc",1997
1,21.9,"bkc",1997
1,21.6,"bkc",1997
1,21.6,"bkc",1997
1,21.1,"bkc",1997
1,21.7,"bkc",1997
1,22,"bkc",1997
1,22.3,"bkc",1997
1,22.5,"bkc",1997
1,22.3,"bkc",1997
1,23.2,"bkc",1997
1,23.3,"bkc",1997
1,23.4,"bkc",1997
1,23.8,"bkc",1997
1,24.3,"bkc",1997
1,24.3,"bkc",1997
1,24.3,"bkc",1997
1,24.1,"bkc",1997
1,24.7,"bkc",1997
1,24,"bkc",1997
1,24.8,"bkc",1997
1,24.7,"bkc",1997
1,25.1,"bkc",1997
1,25.8,"bkc",1997
1,25.3,"bkc",1997
1,25.7,"bkc",1997
1,25.8,"bkc",1997
1,25.8,"bkc",1997
1,25.1,"bkc",1997
1,25,"bkc",1997
1,25.1,"bkc",1997
1,25.7,"bkc",1997
1,25.9,"bkc",1997
1,25.2,"bkc",1997
1,25.2,"bkc",1997
1,25.4,"bkc",1997
1,25.3,"bkc",1997
1,25.7,"bkc",1997
1,25.2,"bkc",1997
1,25.3,"bkc",1997
1,25.1,"bkc",1997
1,25.7,"bkc",1997
1,25.2,"bkc",1997
1,25.7,"bkc",1997
1,25.8,"bkc",1997
1,26,"bkc",1997
1,26.7,"bkc",1997
1,26.5,"bkc",1997
1,26.5,"bkc",1997
1,26.2,"bkc",1997
1,26,"bkc",1997
1,26.3,"bkc",1997
1,26.8,"bkc",1997
1,26.2,"bkc",1997
1,26.3,"bkc",1997
1,26.5,"bkc",1997
1,26.2,"bkc",1997
1,27.9,"bkc",1997
1,27.5,"bkc",1997
1,27,"bkc",1997
1,27.9,"bkc",1997
1,28.7,"bkc",1997
1,30.7,"bkc",1997
1,17.4,"bkc",2001
1,18.2,"bkc",2001
1,18.6,"bkc",2001
1,19.2,"bkc",2001
1,19.8,"bkc",2001
1,19.9,"bkc",2001
1,19.4,"bkc",2001
1,19.7,"bkc",2001
1,19.8,"bkc",2001
1,19.3,"bkc",2001
1,19.7,"bkc",2001
1,19.2,"bkc",2001
1,19.6,"bkc",2001
1,19,"bkc",2001
1,19.4,"bkc",2001
1,19.4,"bkc",2001
1,19.8,"bkc",2001
1,19.2,"bkc",2001
1,20.4,"bkc",2001
1,20.9,"bkc",2001
1,20.7,"bkc",2001
1,20.9,"bkc",2001
1,20.2,"bkc",2001
1,20.4,"bkc",2001
1,20.9,"bkc",2001
1,20.1,"bkc",2001
1,20.2,"bkc",2001
1,20.6,"bkc",2001
1,20.5,"bkc",2001
1,20.1,"bkc",2001
1,21,"bkc",2001
1,21.8,"bkc",2001
1,21.2,"bkc",2001
1,21.1,"bkc",2001
1,21.1,"bkc",2001
1,21.6,"bkc",2001
1,21.7,"bkc",2001
1,21.8,"bkc",2001
1,21,"bkc",2001
1,21.4,"bkc",2001
1,21.5,"bkc",2001
1,21.5,"bkc",2001
1,21.2,"bkc",2001
1,21.8,"bkc",2001
1,21.2,"bkc",2001
1,21.7,"bkc",2001
1,21.5,"bkc",2001
1,21.1,"bkc",2001
1,21.2,"bkc",2001
1,21.2,"bkc",2001
